Data Details,,,,,,,,,Levels of Location Strata,Levels of Business Sector Strata,ISIC Rev. 3.1 (http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,Construction,,,,,"Wholesale and retail trade; repair of motor vehicles, motocyles and personal and household goods",,,,,,Hotels and restaurants,,,"Transport, storage and communications",,"Professional, scientific and technical activities",,,,,,,Others,,Additional
Brazil,2003,2002,2000/2001,1,,Not Global,,1642,Brazil (1642),"Manufacturing (1640), Services (2)",125,0,0,103,437,172,0,1,0,0,83,0,1,0,1,1,78,0,179,130,1,317,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Brazil,2009,2007,2004,15,5/2008 - 6/2009,Global,LAC,1802,"Amazonas (50), Bahia (99), Brasilia DF (38), Ceara (92), Goias (82), Maranhao (3), Mato Grosso (55), Minas Gerais (179), Paraiba (14), Parana (164), Pernambuco (45), Rio Grande do Sul (196), Rio de Janeiro (167), Santa Catarina (177), Sao Paulo (441)","Chemicals & Chemical Products (137), Food (166), Furniture (173), Garments (162), IT & IT Services (110), Leather Products (131), Machinery & Equipment (161), Motor Vehicles (107), Other Manufacturing (278), Other Services (125), Retail (84), Textiles (168)",166,0,0,168,162,131,17,7,20,1,137,0,37,18,14,104,10,21,161,107,14,173,12,3,0,31,0,37,37,84,4,0,0,1,0,15,0,110,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2002,2001,1998/1999,1,,Not Global,,157,Bulgaria (157),"Manufacturing (43), Services (114)",11,0,1,7,0,0,1,1,2,0,2,0,1,3,0,1,1,1,10,0,1,0,0,0,0,13,0,5,37,28,9,1,0,3,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2004,2003,,1,,Not Global,,548,Bulgaria (548),"Manufacturing (339), Other Services (48), Retail (161)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548
Bulgaria,2005,2004,2002,8,,Not Global,,199,"Blagoevgrad (8), Burgas (14), Haskovo (9), Montana (14), Pleven (17), Plovdiv (27), Sofia (68), Varna (42)","Manufacturing (48), Services (151)",15,0,0,5,3,2,3,1,1,0,3,0,1,2,0,2,1,1,4,0,2,1,1,0,0,20,0,8,30,46,18,1,0,6,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2007,2006,2004,4,6/2007 - 12/2007,Global,ECA,1015,"Burgas (59), Plovdiv (310), Sofia (454), Varna (192)","Electronics (68), Food (150), Garments (141), IT & IT Services (163), Machinery & Equipment (93), Other Manufacturing (187), Other Services (81), Retail (132)",150,0,2,16,141,4,7,3,13,0,43,0,15,17,0,67,20,48,93,0,0,0,0,0,0,20,0,7,27,132,6,0,0,1,5,15,0,163,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2009,2007,2004,6,9/2008 - 12/2008,Global,ECA,288,"Severen Tsentralen (18), Severoiztochen (34), Severozapaden (13), Yugoiztochen (23), Yugozapaden (96), Yuzhen Tsentralen (104)","Manufacturing (96), Other Services (100), Retail (92)",16,0,0,6,16,2,5,3,11,0,2,0,10,5,1,10,1,1,7,0,0,0,0,0,0,18,0,9,37,92,15,0,0,5,1,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2013,2011,2009,6,11/2012 - 10/2013,Global,ECA,293,"Severen Tsentralen (33), Severoiztochen (42), Severozapaden   (31), Yugoiztochen (39), Yugozapaden (91), Yuzhen Tsentralen (57)","Manufacturing (111), Other Services (115), Retail (67)",12,0,0,10,17,3,6,3,3,0,4,0,7,7,2,10,1,1,14,1,0,8,2,0,0,28,0,19,35,67,14,0,0,2,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2019,2018,2016,6,01/2019 - 03/2020,Global,ECA,772,"Severen tsentralen (93), Severoiztochen (123), Severozapaden (138), Yugoiztochen (172), Yugozapaden (96), Yuzhen Tsentralen (150)","Food (141), Machinery & Equipment (76), Other Manufacturing (211), Other Services (206), Retail (138)",141,0,1,11,29,10,17,6,11,2,12,0,22,21,5,32,0,13,76,0,2,13,3,1,0,57,0,31,42,138,48,0,0,2,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2023,2022,2020,6,04/2023 - 12/2023,Global,ECA,710,"Northeastern (BG33) (122), Northern Central (BG32) (119), Northwestern (BG31) (108), Southeastern (BG34) (123), Southern Central (BG42) (114), Southwestern (BG41) (124)","Construction (117), Food (116), Garments (107), Other Manufacturing (153), Other Services (131), Retail (86)",116,4,0,20,107,6,10,5,5,3,4,2,10,11,5,17,5,3,23,4,0,10,4,2,53,25,39,15,37,86,26,0,0,4,1,6,20,0,0,6,6,0,2,0,1,0,0,1,6,0
Burkina Faso,2006,2005,2002,1,,Not Global,AFR,139,Burkina Faso (139),"Manufacturing (51), Services (88)",14,0,0,0,4,1,0,3,9,0,1,0,2,0,0,9,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Burkina Faso,2009,2008,2006,2,5/2009 - 10/2009,Global,AFR,394,"Bobo-Dioulasso (83), Ouagadougou (311)","Manufacturing (95), Other Services (185), Retail (114)",20,0,0,3,5,1,5,1,13,0,8,0,5,2,10,14,0,1,0,0,2,5,0,0,0,52,0,22,64,114,9,1,2,5,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,2024,2023,2021,3,10/2024-01/2025,Global,AFR,380,"Center (156), East (115), West (109)","Manufacturing (93), Other Services (180), Retail (107)",48,6,0,4,1,0,1,2,8,0,2,1,3,0,3,12,0,0,0,0,1,1,0,0,30,11,3,24,55,107,16,0,0,1,0,15,6,0,5,6,2,0,2,0,2,0,0,0,2,0
Burundi,2006,2005,2002,1,6/2006 - 7/2006,Global,AFR,270,Bujumbura (270),"Food (23), Garments (23), Other Manufacturing (56), Other Services (92), Retail (76)",23,0,1,0,23,2,1,1,7,0,13,0,2,1,0,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Burundi,2014,2013,2011,3,8/2014 - 2/2015,Global,AFR,157,"Bujumbura (111), Gitega (22), Ngozi (24)","Manufacturing (60), Services (97)",28,0,1,1,0,1,2,0,13,0,6,0,3,0,0,4,0,0,0,0,0,1,0,0,0,12,0,3,25,27,1,1,0,0,3,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,2006,2005,,1,,Not Global,AFR,98,Cabo Verde (98),"Manufacturing (47), Services (51)",15,0,0,0,5,0,14,0,0,0,3,0,1,1,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Cabo Verde,2009,2008,2006,3,5/2009 - 11/2009,Global,AFR,156,"Sal (32), Santiago (83), Sao Vicente (41)","Manufacturing (68), Services (88)",22,0,0,0,7,2,11,0,3,0,3,0,1,1,2,5,0,2,0,0,1,8,0,0,0,20,0,5,12,31,3,0,1,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,2024,2023,2021,2,06/2024 - 12/2024,Global,AFR,163,"Barlavento Islands (81), Sotavento Islands (82)","Manufacturing (66), Services (97)",24,4,0,1,5,0,2,0,2,0,2,1,2,6,0,9,0,0,1,0,0,7,0,0,16,0,4,1,8,26,6,1,1,1,0,10,15,0,0,0,0,1,1,0,0,0,0,6,0,0
Cambodia,2007,2006,,5,8/2007 - 3/2008,Not Global,EAP,502,"Battambang (9), Kampong Cham (6), Other (20), Phnom Penh (401), Siem Reap (66)","Manufacturing (135), Other Services (316), Retail (51)",11,0,1,6,92,1,3,0,7,0,1,0,6,2,1,2,0,0,0,0,0,2,0,0,0,9,0,22,34,51,4,7,7,32,1,119,0,6,0,0,0,0,0,0,0,0,0,0,0,75
Cambodia,2013,2012,2010,5,1/2012 - 12/2013,Global,EAP,472,"Battambang (29), Kampong Cham (27), Phnom Penh (315), Siem Reap (73), Sihanouk Ville (28)","Food/Leather/Wood/Tobacco/Rubber Products (49), Hospitality & Tourism (135), Other Manufacturing (136), Other Services (66), Services of Motor Vehicles/Wholesale/Retail (86)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472
Cambodia,2016,2015,2013,5,02/2016 - 06/2016,Global,EAP,373,"Coastal (55), Mountains (54), Phnom Penh (132), Plains (53), Tonle Sap (79)","Manufacturing (135), Other Services (136), Retail (102)",38,0,0,4,39,7,1,0,10,0,1,0,2,9,5,4,0,2,2,1,0,7,3,0,0,9,0,23,21,102,9,0,3,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,2023,2022,2020,4,04/2023 - 10/2023,Global,EAP,519,"Mountains (103), Phnom Penh (173), Plains (116), Tonle Sap (127)","Garments (126), Other Manufacturing (138), Other Services (161), Retail (94)",25,14,0,4,126,24,3,0,6,0,0,1,6,38,3,6,1,1,0,1,0,0,2,3,4,4,5,16,32,94,6,2,0,1,0,24,53,0,4,0,0,1,0,0,0,1,0,3,5,0
Cameroon,2006,2005,,1,,Not Global,AFR,172,Cameroon (172),"Manufacturing (118), Services (54)",32,0,0,1,4,3,11,5,11,0,10,0,5,3,4,15,0,1,4,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Cameroon,2009,2008,2006,3,4/2009 - 10/2009,Global,AFR,363,"Central (108), Coastal (214), West (41)","Manufacturing (107), Other Services (137), Retail (119)",29,0,1,1,14,0,12,3,13,1,6,0,5,3,1,11,0,0,3,1,0,2,0,0,0,20,0,12,40,119,6,6,2,8,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cameroon,2016,2015,2013,3,07/2016 - 11/2016,Global,AFR,361,"Center (149), Littoral (143), West (69)","Manufacturing (102), Other Services (142), Retail (117)",20,0,0,2,7,0,8,2,15,2,6,0,6,0,4,9,0,2,5,0,0,13,1,0,0,20,0,24,33,117,15,0,1,3,4,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,2024,2023,2021,4,06/2024-02/2025,Global,AFR,615,"Center (207), Littoral (199), North (146), West (63)","Food (49), Other Manufacturing (112), Other Services (328), Retail (126)",49,2,0,2,9,2,15,5,16,1,13,1,4,7,0,11,0,2,3,1,0,10,5,3,26,17,17,26,82,126,28,3,0,10,1,36,30,0,6,7,6,3,6,0,2,6,0,5,11,0
Canada,2024,2023/2024,2021/2022,4,4/2024-4/2025,Global,NA,1015,"Central Canada (425), The Atlantic Provinces & Northern Territories (170), The Prairie Provinces (238), The West Coast (British Columbia) (182)","Construction (94), Hotels (105), Manufacturing (195), Other Services (379), Professional Activities (46), Retail (196)",26,1,0,2,1,0,15,3,7,0,6,2,12,19,9,45,5,7,22,6,1,4,1,1,21,10,63,44,83,196,17,0,0,15,1,105,201,5,2,10,12,13,13,1,6,1,0,1,0,0
Central African Republic,2011,2010,2008,2,6/2011 - 7/2011,Global,AFR,150,"Bangui (142), Berberati (8)","Manufacturing (37), Services (113)",21,0,1,0,0,0,0,0,7,0,2,0,1,0,1,2,0,0,0,0,0,1,0,1,0,5,0,10,23,41,1,0,6,4,2,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,2023,2022,2020,2,3/2023 - 6/2023,Global,AFR,151,"Bangui (124), Berberati (27)","Manufacturing (32), Services (119)",12,1,2,0,0,0,1,0,7,0,1,1,0,0,1,3,0,0,0,0,0,2,0,1,14,0,0,3,25,43,7,1,1,2,0,4,3,3,1,0,0,3,0,0,1,0,0,7,1,0
Chad,2009,2008,2006,1,6/2009 - 9/2009,Global,AFR,150,N'Djamena (150),"Manufacturing (60), Services (90)",17,0,1,0,1,2,2,0,14,0,2,0,0,3,4,7,0,0,0,0,0,7,0,0,0,17,0,8,14,31,1,0,2,7,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Chad,2018,2017,2015,1,02/2018-04/2018,Global,AFR,153,N'Djamena (153),"Manufacturing (74), Services (79)",12,0,0,0,20,3,0,0,12,0,1,0,0,1,0,5,0,1,1,0,1,17,0,0,0,5,0,10,14,18,1,0,3,3,3,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2023,2022,2020,2,06/2023 - 11/2023,Global,AFR,164,"N'Djamena (129), Other regions (35)","Manufacturing (81), Services (83)",14,0,1,0,29,2,1,0,6,0,0,0,0,1,1,11,0,0,0,0,0,11,4,0,2,0,2,8,11,25,8,0,0,1,0,3,11,1,0,1,2,0,0,0,2,1,1,4,0,0
Chile,2006,2005,2002,5,1/2006 - 12/2006,Global,LAC,1017,"Antofagasta (79), B°o B°o (150), Los Lagos (85), Santiago (589), Valpara°so (114)","Chemicals & Chemical Products (90), Food (164), Garments (79), IT & IT Services (120), Manufacturing (11), Non-Metallic Mineral Products (20), Rest of Universe (367), Retail (123), Services (43)",161,0,0,70,73,19,0,0,0,0,77,0,64,20,10,111,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
Chile,2010,2009,2007,4,4/2010 - 4/2011,Global,LAC,1033,"Antofagasta (83), Los Lagos (103), Santiago (705), Valparaiso (142)","Basic Metals/Fabricated Metals/Machinery & Equip. (190), Chemicals, Plastics & Rubber (165), Food (181), Other Manufacturing (123), Other Services (139), Retail (114), Textiles & Garments (121)",181,0,2,70,51,11,20,7,28,2,80,0,85,29,20,149,0,5,21,5,4,8,1,1,0,11,0,11,51,113,12,0,0,5,3,8,0,37,0,0,0,0,0,0,0,0,0,0,0,2
China,2012,2011,2009,25,11/2011 - 3/2013,Global,EAP,2700,"Beijing (Municipalities) (117), Chengdu City (115), Dalian City (113), Dongguan City (94), Foshan City (115), Guangzhou City (116), Hangzhou City (79), Hefei City (113), Jinan City (113), Luoyang City (111), Nanjing City (114), Nantong City (112), Ningbo City (115), Qingdao City (115), Shanghai (Municipalities) (36), Shenyang City (110), Shenzhen City (116), Shijiazhuang City (113), Suzhou City (118), Tangshan City (111), Wenzhou City (113), Wuhan City (101), Wuxi City (117), Yantai City (111), Zhengzhou City (112)","Basic Metals & Metal Products (82), Chemicals & Chemical Products (145), Construction (133), Electronics & Communications Equip. (160), Fabricated Metal Products (177), Food (144), Garments (128), Hotels & Restaurants (153), IT & IT Services (141), Machinery & Equipment (153), Motor Vehicles (137), Non-Metallic Mineral Products (151), Other Manufacturing (113), Retail (147), Rubber & Plastics Products (146), Services of Motor Vehicles (146), Textiles (155), Transport, Storage, & Communications (142), Wholesale (147)",144,0,0,155,128,19,4,17,26,7,145,0,146,151,82,177,55,105,153,127,10,14,26,0,0,133,0,146,147,145,80,25,6,26,4,153,0,141,0,0,0,0,0,0,0,0,0,0,0,3
China,2024,2023/2024,2021/2022,6,1/2024 - 2/2025,Global,EAP,2189,"Central (455), East (560), North (343), Northeastern (280), Northwest (287), Southwest (264)","Basic Metals (78), Chemicals & Chemical Products (117), Construction (163), Electrical & Computer Products (102), Electronics (129), Food (105), Garments (122), Hotels (136), Machinery & Equipment (142), Motor Vehicles (120), Other Manufacturing (272), Other Services (364), Professional Activities (149), Retail (190)",105,13,1,17,122,7,5,10,6,8,117,10,23,44,78,76,102,129,142,120,16,2,17,17,54,44,65,34,181,190,31,2,1,28,4,136,23,5,9,38,2,22,59,5,28,32,1,4,4,0
Colombia,2006,2005,2002,4,3/2006 - 8/2006,Global,LAC,1000,"Barranquilla (108), Bogota (423), Cali (159), Medellin (310)","Chemicals & Chemical Products (153), Food (152), Garments (165), IT & IT Services (121), Rest of Universe (153), Retail (121), Textiles (135)",151,0,0,133,164,20,1,0,1,0,153,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366
Colombia,2010,2009,2007,4,4/2010 - 4/2011,Global,LAC,942,"Barranquilla (98), Bogota (552), Cali (101), Medellin (191)","Basic Metals/Fabricated Metals/Machinery & Equip. (164), Chemicals, Plastics & Rubber (166), Food (140), Other Manufacturing (66), Other Services (121), Retail (113), Textiles & Garments (172)",140,0,1,58,114,10,3,2,18,0,110,0,56,5,15,125,1,5,24,8,0,10,3,0,0,19,0,7,43,113,5,0,0,3,2,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2017,2016,2014,5,6/2017-6/2018,Global,LAC,993,"Barranquilla (120), Bogota (402), Cali (139), Cartagena (120), Medellin (212)","Food (178), Other Manufacturing (218), Other Services (291), Retail (132), Textiles & Garments (174)",178,0,0,31,143,12,4,3,14,1,44,0,28,9,1,49,0,7,31,3,0,8,4,0,0,43,0,7,138,132,13,2,1,16,1,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2023,2022/2023,2020/2021,5,ˇ04/2023 - 02/2024,Global,LAC,919,"Amazonia, Orinoquia (123), Andina (319), Bogota (174), Caribe (153), Pacifica (150)","Construction (118), Food (77), Garments (78), Hotels (106), Other Manufacturing (139), Other Services (233), Retail (168)",77,2,0,28,78,4,4,4,6,0,9,3,14,14,4,11,2,2,6,3,2,10,9,2,54,32,32,28,101,168,23,2,0,8,1,106,32,2,5,7,4,6,5,0,0,0,0,3,6,0
"Congo, Dem. Rep.",2006,2005,2002,4,5/2006 - 6/2006,Global,AFR,340,"Kinshasa (298), Kisangani (11), Lubumbashi (13), Matadi (18)","Food (59), Garments (18), Other Manufacturing (72), Other Services (127), Retail (64)",59,0,0,0,18,4,5,0,7,0,19,0,3,4,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
"Congo, Dem. Rep.",2010,2009,2007,4,6/2010 - 10/2010,Global,AFR,359,"Kinshasa (187), Kisangani (39), Lubumbashi (74), Matadi (59)","Manufacturing (130), Other Services (133), Retail (96)",43,0,1,0,6,2,14,4,1,0,16,0,6,4,1,8,2,0,3,1,0,16,0,0,0,20,0,14,33,96,7,4,2,3,5,31,0,14,0,0,0,0,0,0,0,0,0,0,0,2
"Congo, Dem. Rep.",2013,2012,2010,4,8/2013 - 5/2014,Global,AFR,529,"Central (68), East (133), South (72), West (256)","Manufacturing (241), Other Services (157), Retail (131)",44,0,1,0,40,2,13,3,9,1,21,0,2,14,1,30,0,1,2,0,0,56,1,0,0,13,0,18,30,131,8,1,2,16,8,50,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",2024,2023,2021,12,04/2024-12/2024,Global,AFR,1025,"Congo Central (89), Haut-Katanga (127), Ituri (56), Kasaã Central (56), Kasaã Oriental (65), Kinshasa (258), North-Kivu (99), Rest of Center-South (53), Rest of East (19), Rest of West-North (54), South-Kivu (86), Tshopo (63)","Manufacturing (229), Other Services (478), Retail (318)",36,9,0,28,18,4,23,0,11,0,14,3,0,8,2,31,0,0,0,0,1,28,8,5,16,10,2,72,111,318,40,2,2,13,1,68,71,1,4,15,3,0,5,1,0,4,0,5,32,0
"Congo, Rep.",2009,2007,2005,2,9/2008 - 2/2009,Global,AFR,151,"Brazzaville (65), Pointe-Noire (86)","Manufacturing (38), Services (113)",14,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,0,7,0,0,0,0,0,0,15,0,25,5,18,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Congo, Rep.",2024,2023,2021,3,03/2024 - 10/2024,Global,AFR,365,"Brazzaville (117), Pointe-Noire (137), Rest of the country (111)","Manufacturing (104), Other Services (167), Retail (94)",18,4,1,0,22,0,5,0,2,2,7,0,1,2,6,18,0,0,2,0,0,13,0,1,12,6,6,19,41,94,15,3,2,10,0,29,11,1,2,2,1,0,1,1,0,1,0,3,1,0
Costa Rica,2005,2004,,1,,Not Global,,343,Costa Rica (343),Manufacturing (343),42,0,0,18,25,7,15,2,40,0,25,0,15,29,0,35,1,4,6,3,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Costa Rica,2010,2009,2007,2,7/2010 - 5/2011,Global,LAC,538,"Rest of the country (91), San Jose (447)","Hotels & Restaurants (55), Minerals, Metals, Machinery & Equipment (90), Other Manufacturing (232), Other Services (61), Retail (100)",108,0,1,11,8,5,15,4,18,0,20,0,17,30,7,34,0,7,19,3,0,12,3,0,0,10,0,7,27,100,4,0,2,7,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,2023,2022/2023,2020/2021,2,05/2023 - 11/2023,Global,LAC,357,"Rest of the country (104), San Jose and Central Valley (253)","Manufacturing (113), Other Services (172), Retail (72)",44,2,0,3,2,0,3,5,6,0,3,3,3,8,0,3,2,2,6,1,1,13,1,2,6,1,7,17,34,72,7,1,0,1,1,63,14,0,1,6,2,0,3,1,0,1,1,4,1,0
Croatia,2002,2001,1998/1999,1,,Not Global,,124,Croatia (124),"Manufacturing (31), Services (93)",4,0,0,3,2,0,1,0,4,0,1,0,2,2,0,2,2,2,2,0,3,0,0,1,0,20,0,4,23,20,4,0,0,7,1,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2005,2004,2002,6,,Not Global,,167,"Dalmatia (20), Istra, Hrvatsko Primorje & Gosrki Kotar (42), Lika & Banovina (7), North Croatia (21), Slavonia (21), Zagreb and surrounding (56)","Manufacturing (56), Services (111)",5,0,0,1,1,0,1,1,7,0,4,0,4,3,0,7,2,3,5,0,4,2,3,3,0,27,0,3,29,20,9,0,0,7,2,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2007,2006,2004,6,9/2007 - 3/2008,Global,ECA,633,"Dalmacija (106), Istra i hrvatsko primorje (87), Lika i banovina (77), Northern croatia (119), Slavonia (117), Zagreb and surroundings (127)","Fabricated Metal Products (116), Food (135), Garments (53), Other Manufacturing (107), Other Services (103), Retail (119)",135,0,0,31,53,0,20,2,6,0,0,0,9,8,2,116,0,7,8,0,7,5,2,0,0,33,0,3,41,119,4,0,0,3,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2013,2011,2009,3,2/2013 - 10/2013,Global,ECA,360,"Adriatic (127), Central And Eastern (Pannonian) (79), Northwest (154)","Manufacturing (121), Other Services (130), Retail (109)",27,0,0,5,7,0,12,1,3,0,1,0,8,12,0,15,1,5,14,0,1,2,7,0,0,37,0,17,33,108,11,1,0,2,0,19,0,8,0,0,0,0,0,0,0,0,0,0,0,3
Croatia,2019,2018,2016,2,11/2018 - 11/2019,Global,ECA,404,"Jadranska Hrvatska (159), Kontinentalna Hrvatska (245)","Manufacturing (149), Other Services (158), Retail (97)",36,0,0,3,6,2,8,3,4,1,9,0,9,5,3,22,1,3,16,2,3,8,5,0,0,42,0,15,40,97,11,5,0,7,0,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2023,2022/2023,2020/2021,4,05/2023 - 2/2024,Global,ECA,474,"Adriatic Croatia (HR03) (120), City of Zagreb (HR05) (112), Northern Croatia (HR06) (116), Pannonian Croatia (HR02) (126)","Hotels (69), Manufacturing (147), Other Services (160), Retail (98)",29,3,2,1,5,2,16,2,2,0,6,2,9,6,2,22,3,8,8,1,1,9,5,3,7,10,15,15,32,98,17,1,0,4,0,69,21,0,2,8,4,0,15,0,2,3,1,2,1,0
Cyprus,2019,2017/2018,2015/2016,1,12/2018 - 06/2019,Global,ECA,240,Republic Of Cyprus (240),"Manufacturing (80), Other Services (93), Retail (67)",37,0,0,0,0,0,4,0,6,1,4,0,3,7,1,9,0,0,1,0,0,7,0,0,0,33,0,12,19,67,3,0,1,8,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2024,2023,2021,2,8/2024-12/2024,Global,ECA,246,"Limassol, Paphos (112), Nicosia, Larnaca, Famagusta (134)","Manufacturing (100), Services (146)",41,3,0,0,1,1,4,2,4,0,2,2,6,9,5,9,0,0,2,1,0,5,1,2,14,0,10,10,27,30,1,2,1,5,0,15,15,0,0,3,6,2,1,0,2,0,0,2,0,0
Czech Republic,2002,2001,1998/1999,1,,Not Global,,166,Czechia (166),"Manufacturing (55), Services (111)",5,0,0,0,2,0,6,1,1,2,5,0,1,4,1,3,0,5,6,3,2,3,4,1,0,29,0,6,31,15,9,0,0,1,1,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2005,2004,2002,11,,Not Global,,176,"Br?ensk? (23), Bud?jovick? (15), Jihlavsk? - Vyso?ina (2), Kr†lovÇhradeck? (1), Libereck? (7), Olomouck? (10), Ostravsk?, Moravsko-Slezsk? (45), Praha (43), St?edo?esk? (6), Zl°nsk? (8), ?steck? (16)","Manufacturing (61), Services (115)",11,0,0,0,2,1,3,1,2,1,3,0,6,4,5,7,0,1,8,2,0,2,1,1,0,31,0,7,18,28,2,0,0,14,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2009,2007,2004,8,9/2008 - 3/2009,Global,ECA,250,"Central Bohemia (24), Central Moravia (46), Moravia Silesia (35), Northeast (39), Northwest (20), Prague (41), Southeast (16), Southwest (29)","Manufacturing (110), Other Services (82), Retail (58)",10,0,0,5,2,0,4,1,5,0,4,0,9,6,1,20,1,5,14,3,0,6,3,2,0,19,0,6,20,54,10,0,1,5,1,9,0,6,0,0,0,0,0,0,0,0,0,0,0,18
Czech Republic,2013,2011,2009,3,1/2013 - 4/2014,Global,ECA,254,"East (57), North & Center (132), South (65)","Manufacturing (114), Other Services (84), Retail (56)",9,0,0,3,6,0,3,0,4,0,5,0,7,11,2,18,3,4,20,3,2,8,5,1,0,22,0,7,33,56,5,0,1,1,2,7,0,5,0,0,0,0,0,0,0,0,0,0,0,1
Czech Republic,2019,2018,2016,4,12/2018 - 03/2020,Global,ECA,502,"Central (128), East (162), North (133), South (79)","Manufacturing (291), Other Services (149), Retail (62)",58,0,0,8,1,0,3,0,3,0,8,0,22,9,2,70,4,5,66,12,0,11,8,1,0,41,0,4,42,62,18,0,0,1,2,25,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2024,2023/2024,2021/2022,2,04/2024-03/2025,Global,ECA,268,"Bohemia (152), Moravia (116)","Manufacturing (138), Services (130)",12,6,0,3,1,0,1,7,2,0,3,1,14,6,2,23,6,5,23,13,0,3,7,0,9,8,15,4,27,21,9,0,0,0,0,5,7,0,1,8,4,1,5,1,0,2,0,0,3,0
Cìte d'Ivoire,2009,2007,2005,3,10/2008 - 2/2009,Global,AFR,526,"Abidjan (480), San Pedro (44), Yamoussoukro (2)","Manufacturing (209), Other Services (220), Retail (97)",33,0,0,3,41,12,22,2,15,0,21,0,12,4,5,7,1,6,8,2,0,5,4,1,0,14,0,58,50,95,6,3,0,6,4,45,0,23,0,0,0,0,0,0,0,0,0,0,0,18
Cìte d'Ivoire,2016,2015,2013,2,07/2016 - 02/2017,Global,AFR,361,"Abidjan (263), Rest Of The Country (98)","Manufacturing (106), Other Services (149), Retail (106)",30,0,0,0,14,2,11,1,7,0,9,0,7,1,2,10,0,2,2,0,0,8,0,0,0,20,0,40,40,106,12,0,2,8,2,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0
